id_mutation,date_mutation,valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,latitude,longitude,prix_m2
DVF0000001,2022-12-04,805000,75001,Paris,Appartement,63,2,48.86212,2.353191,12778.0
DVF0000002,2022-04-17,400000,75001,Paris,Appartement,33,1,48.861224,2.348557,12121.0
DVF0000003,2022-10-09,1047000,75001,Paris,Appartement,82,2,48.863713,2.340791,12768.0
DVF0000004,2022-04-25,809000,75001,Paris,Appartement,62,2,48.858039,2.341998,13048.0
DVF0000005,2022-12-15,1119000,75001,Paris,Appartement,71,2,48.860435,2.354324,15761.0
DVF0000006,2022-06-19,846000,75001,Paris,Appartement,57,2,48.856307,2.341674,14842.0
DVF0000007,2022-04-28,771000,75001,Paris,Appartement,64,2,48.855212,2.344592,12047.0
DVF0000008,2022-11-09,686000,75001,Paris,Appartement,51,1,48.862422,2.35027,13451.0
DVF0000009,2022-03-15,922000,75001,Paris,Appartement,60,2,48.858553,2.354553,15367.0
DVF0000010,2022-01-08,758000,75001,Paris,Appartement,57,2,48.863862,2.351971,13298.0
DVF0000011,2022-12-11,691000,75001,Paris,Appartement,42,1,48.856552,2.347689,16452.0
DVF0000012,2022-04-24,1164000,75001,Paris,Maison,80,2,48.860736,2.344378,14550.0
DVF0000013,2022-03-17,740000,75001,Paris,Appartement,58,2,48.859922,2.351281,12759.0
DVF0000014,2022-07-20,1004000,75001,Paris,Appartement,64,2,48.854762,2.346043,15688.0
DVF0000015,2022-01-22,907000,75001,Paris,Maison,56,2,48.862649,2.350244,16196.0
DVF0000016,2022-05-14,1177000,75001,Paris,Appartement,88,3,48.855898,2.340745,13375.0
DVF0000017,2022-03-17,894000,75001,Paris,Appartement,63,2,48.864952,2.352887,14190.0
DVF0000018,2022-06-25,1012000,75001,Paris,Appartement,80,2,48.855939,2.354049,12650.0
DVF0000019,2022-02-12,950000,75001,Paris,Maison,60,2,48.864545,2.352343,15833.0
DVF0000020,2022-02-03,596000,75001,Paris,Appartement,41,1,48.862783,2.352124,14537.0
DVF0000021,2022-08-18,1336000,75001,Paris,Maison,97,3,48.855982,2.348087,13773.0
DVF0000022,2022-12-07,1643000,75001,Paris,Appartement,106,3,48.862555,2.346286,15500.0
DVF0000023,2022-02-08,728000,75001,Paris,Appartement,51,1,48.856696,2.345433,14275.0
